Country/Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Source UUID / Link,Use Case,Ai Rationale for the selection,AI suitability assessment result,Ecoinvent  Rationale,,,,
Sweden,MAT-Wood-0011,Wood,Pine,kg,0.04,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"softwood forestry, pine, sustainable forest management-cleft timber, measured as dry mass","softwood forestry, pine, sustainable forest management Sweden (SE) 20100101-20241231.pdf","Pine

✅ Suitable for rustic-style furniture and interior design accents due to its appealing natural aesthetics and renewable sourcing. It is suitable for decorative or low-load applications in catering furnishings, where moderate mechanical strength is sufficient. Pine's lightweight nature makes it easy to work with for simple designs and non-structural elements. 
❌ Not suitable for applications requiring high dimensional stability, such as precision-machined components or areas with significant temperature and humidity fluctuations. It is also unsuitable for environments where high fire resistance is necessary. Additionally, using pine as fuelwood should be avoided in favor of long-life applications to minimize emissions.",,,,,,,
Rest-of-World,MAT-Wood-0012,Wood,Birch,kg,0.03,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, birch, sustainable forest management-cleft timber, measured as dry mass","hardwood forestry, birch, sustainable forest management Rest-of-World (RoW) 20100101-20241231.pdf","Birch

✅ Suitable for indoor furniture and interior applications where moderate strength and a light, clean appearance are desired. Birch is sustainably sourced in Sweden, providing a good balance of workability and cost. It is ideal for applications such as cabinetry, shelving, and decorative panels where aesthetics and ease of machining are important. 
❌ Not suitable for high-moisture environments or catering equipment that requires high resistance to decay and water absorption, unless properly treated with sealants or finishes. Birch may also not be the best choice for applications demanding the prestige or hardness of denser hardwoods, such as high-end dining tables or heavy-duty work surfaces.",,,,,,,
Sweden,MAT-Wood-0013,Wood,Birch,kg,0.03,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"hardwood forestry, birch, sustainable forest management-cleft timber, measured as dry mass","softwood forestry, pine, sustainable forest management Sweden (SE) 20100101-20241231.pdf","Birch

✅ Suitable for indoor furniture and interior applications where moderate strength and a light, clean appearance are desired. Birch is sustainably sourced in Sweden, providing a good balance of workability and cost. It is ideal for applications such as cabinetry, shelving, and decorative panels where aesthetics and ease of machining are important. 
❌ Not suitable for high-moisture environments or catering equipment that requires high resistance to decay and water absorption, unless properly treated with sealants or finishes. Birch may also not be the best choice for applications demanding the prestige or hardness of denser hardwoods, such as high-end dining tables or heavy-duty work surfaces.",,,,,,,
Global,MAT-Wood-0014,Wood,Teak,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Teak  

✅ Suitable for furniture and interior fit-outs that demand exceptional durability, natural resistance to corrosion and termites, and a rich, golden-brown aesthetic that enhances with age. It is ideal for both indoor and outdoor applications, particularly in high-end residential and commercial settings where longevity and luxury are prioritized. 
❌ Not suitable for projects with strict sustainability criteria due to its slow growth rate and significant environmental impact associated with harvesting. It is also not ideal for budget-conscious projects, as it can be cost-prohibitive compared to alternative hardwoods or engineered materials. Additionally, for catering equipment, teak may not be the best choice due to its weight and maintenance requirements, which can be impractical in fast-paced environments.",,,,,,,
Global,MAT-Wood-0015,Wood,Ash,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Ash

✅ Suitable for furniture and interior fit-outs due to its high strength, good shock resistance, and attractive grain. It is ideal for structural and visible applications such as cabinetry, flooring, and decorative paneling. Its moderate cost makes it an economical choice for both residential and commercial projects. 
❌ Not suitable for catering equipment or environments with high moisture or outdoor exposure unless it undergoes proper treatment. Its moderate decay resistance means it can be susceptible to rot and degradation when exposed to moisture. Additionally, when used with metal fasteners, there is a risk of corrosion unless protective measures are taken. Therefore, it is not ideal for outdoor furniture, decking, or any application where it would be exposed to the elements without adequate protection.",,,,,,,
Global,MAT-Wood-0016,Wood,Alder,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Alder  

✅ Suitable for indoor furniture and interior fit-outs due to its fine, uniform texture and ease of machining. It offers good strength and an affordable cost, providing a warm aesthetic with a smooth finish. It is particularly well-suited for applications where a smooth, polished appearance is desired, such as cabinetry, paneling, and decorative elements.
❌ Not Suitable for environments with high moisture or outdoor use because it has low natural decay resistance. It is prone to damage in such conditions and may require protective coatings to enhance its durability. Additionally, when used in conjunction with metal fittings, care must be taken to prevent corrosion, as moisture can exacerbate this issue. Due to its low resistance to moisture and potential for decay, alder is not suitable for catering equipment that may be exposed to frequent cleaning, moisture, or food contact.",,,,,,,
Global,MAT-Wood-0017,Wood,Rubberwood,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Rubberwood  

✅ Suitable for indoor furniture and interior fit-outs due to its sustainability as a plantation hardwood, which makes it an eco-friendly choice. It has good strength, an attractive grain, and is relatively low cost, making it ideal for affordable furniture options. Rubberwood is particularly well-suited for items like tables, chairs, and cabinetry in dry, indoor environments. 
❌ Not suitable for high-moisture environments, outdoor use, or catering equipment that may be exposed to water or humidity without proper treatment. Rubberwood has moderate susceptibility to fungal decay and insect attack, which can lead to increased maintenance costs if not properly treated. It is not recommended for use in kitchens, bathrooms, or outdoor settings unless it is adequately sealed and maintained to prevent moisture damage.",,,,,,,
Global,MAT-Wood-0018,Wood,Rosewood,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Rosewood  

✅ Suitable for high-end furniture and interior fit-outs where luxury and aesthetics are prioritized. Its exceptional strength, rich color, and natural durability make it ideal for decorative and structural applications in premium settings. Rosewood is particularly valued for its ability to hold intricate carvings and its resistance to wear, making it a preferred choice for heirloom-quality pieces. 
❌ Not suitable for projects with budget constraints or where sustainability is a priority. Rosewood is often expensive and associated with illegal logging and deforestation, raising significant environmental and ethical concerns. It is not recommended for use in catering equipment due to its cost and the need for materials that can withstand frequent cleaning and exposure to food and moisture.",,,,,,,
Global,MAT-Wood-0019,Wood,Poplar,kg,0.30,Ecoinvent,Average,A category-average emission factor was applied as no close match was identified for the specified material.,Average,Average,"Poplar  

✅ Suitable for lightweight furniture and interior components, such as cabinets, drawers, and decorative moldings, due to its ease of machining, affordability, and smooth finish. It is ideal for painted surfaces and cost-effective applications where aesthetics and low weight are prioritized over structural strength. 
❌ Not suitable for high-stress structural uses, such as load-bearing furniture or frames, due to its relatively low strength and density. It is also unsuitable for outdoor environments or areas with high moisture exposure, as it lacks durability and moisture resistance, which can lead to warping, swelling, and a reduced lifespan. Poplar should be avoided in catering equipment that requires high durability or exposure to moisture and heat. ",,,,,,,
Philippines,MAT-Wood-0020,Wood,Natural Bamboo,kg,0.62,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo,market for flattened bamboo Philippines (PH) 20100101-20241231.pdf,"Natural Bamboo

✅ Suitable for sustainable interior fit-outs and lightweight furniture applications where flexibility, renewability, and low embodied energy are prioritized. Ideal for decorative wall panels, room dividers, and furniture components that do not bear heavy loads. Its aesthetic appeal and natural finish make it a popular choice for eco-friendly design themes. In catering equipment, it can be used for non-structural elements like decorative serving trays or utensil holders, where its natural look and lightweight properties are advantageous.
❌ Not suitable for high-load structural applications, such as load-bearing furniture frames or flooring, due to its handcrafted, untreated nature. Additionally, it is not recommended for environments with high moisture exposure, such as bathrooms or outdoor settings, unless properly treated or sealed to enhance durability and moisture resistance. In catering, it should not be used for heavy-duty kitchen equipment or surfaces that require high durability and moisture resistance.",,,,,,,
Rest-of-World,MAT-Wood-0021,Wood,Natural Bamboo,kg,0.48,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo,market for flattened bamboo Rest-of-World (RoW) 20100101-20241231.pdf,"Natural Bamboo

✅ Suitable for sustainable interior fit-outs and lightweight furniture applications where flexibility, renewability, and low embodied energy are prioritized. Ideal for decorative wall panels, room dividers, and furniture components that do not bear heavy loads. Its aesthetic appeal and natural finish make it a popular choice for eco-friendly design themes. In catering equipment, it can be used for non-structural elements like decorative serving trays or utensil holders, where its natural look and lightweight properties are advantageous.
❌ Not suitable for high-load structural applications, such as load-bearing furniture frames or flooring, due to its handcrafted, untreated nature. Additionally, it is not recommended for environments with high moisture exposure, such as bathrooms or outdoor settings, unless properly treated or sealed to enhance durability and moisture resistance. In catering, it should not be used for heavy-duty kitchen equipment or surfaces that require high durability and moisture resistance.",,,,,,,
Colombia,MAT-Wood-0022,Wood,Natural Bamboo,kg,0.34,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo,market for flattened bamboo Colombia (CO) 20100101-20241231.pdf,"Natural Bamboo

✅ Suitable for sustainable interior fit-outs and lightweight furniture applications where flexibility, renewability, and low embodied energy are prioritized. Ideal for decorative wall panels, room dividers, and furniture components that do not bear heavy loads. Its aesthetic appeal and natural finish make it a popular choice for eco-friendly design themes. In catering equipment, it can be used for non-structural elements like decorative serving trays or utensil holders, where its natural look and lightweight properties are advantageous.
❌ Not suitable for high-load structural applications, such as load-bearing furniture frames or flooring, due to its handcrafted, untreated nature. Additionally, it is not recommended for environments with high moisture exposure, such as bathrooms or outdoor settings, unless properly treated or sealed to enhance durability and moisture resistance. In catering, it should not be used for heavy-duty kitchen equipment or surfaces that require high durability and moisture resistance.",,,,,,,
Brazil,MAT-Wood-0023,Wood,Natural Bamboo,kg,0.34,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo,market for flattened bamboo Brazil (BR) 20100101-20241231.pdf,"Natural Bamboo

✅ Suitable for sustainable interior fit-outs and lightweight furniture applications where flexibility, renewability, and low embodied energy are prioritized. Ideal for decorative wall panels, room dividers, and furniture components that do not bear heavy loads. Its aesthetic appeal and natural finish make it a popular choice for eco-friendly design themes. In catering equipment, it can be used for non-structural elements like decorative serving trays or utensil holders, where its natural look and lightweight properties are advantageous.
❌ Not suitable for high-load structural applications, such as load-bearing furniture frames or flooring, due to its handcrafted, untreated nature. Additionally, it is not recommended for environments with high moisture exposure, such as bathrooms or outdoor settings, unless properly treated or sealed to enhance durability and moisture resistance. In catering, it should not be used for heavy-duty kitchen equipment or surfaces that require high durability and moisture resistance.",,,,,,,
China,MAT-Wood-0024,Wood,Natural Bamboo,kg,0.67,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo,market for flattened bamboo China (CN) 20100101-20241231.pdf,"Natural Bamboo

✅ Suitable for sustainable interior fit-outs and lightweight furniture applications where flexibility, renewability, and low embodied energy are prioritized. Ideal for decorative wall panels, room dividers, and furniture components that do not bear heavy loads. Its aesthetic appeal and natural finish make it a popular choice for eco-friendly design themes. In catering equipment, it can be used for non-structural elements like decorative serving trays or utensil holders, where its natural look and lightweight properties are advantageous.
❌ Not suitable for high-load structural applications, such as load-bearing furniture frames or flooring, due to its handcrafted, untreated nature. Additionally, it is not recommended for environments with high moisture exposure, such as bathrooms or outdoor settings, unless properly treated or sealed to enhance durability and moisture resistance. In catering, it should not be used for heavy-duty kitchen equipment or surfaces that require high durability and moisture resistance.",,,,,,,
Ecuador,MAT-Wood-0025,Wood,Natural Bamboo,kg,0.10,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for flattened bamboo,market for flattened bamboo Ecuador (EC) 20100101-20241231.pdf,"Natural Bamboo

✅ Suitable for sustainable interior fit-outs and lightweight furniture applications where flexibility, renewability, and low embodied energy are prioritized. Ideal for decorative wall panels, room dividers, and furniture components that do not bear heavy loads. Its aesthetic appeal and natural finish make it a popular choice for eco-friendly design themes. In catering equipment, it can be used for non-structural elements like decorative serving trays or utensil holders, where its natural look and lightweight properties are advantageous.
❌ Not suitable for high-load structural applications, such as load-bearing furniture frames or flooring, due to its handcrafted, untreated nature. Additionally, it is not recommended for environments with high moisture exposure, such as bathrooms or outdoor settings, unless properly treated or sealed to enhance durability and moisture resistance. In catering, it should not be used for heavy-duty kitchen equipment or surfaces that require high durability and moisture resistance.",,,,,,,
Sweden,MAT-Wood-0026,Wood,Strand-Woven Bamboo,kg,0.01,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Holse & Wibroe Strand Woven Bamboo,EPD_StrandWovenBamboo_Global_S-P-08362_2023-05_to_2028-05.pdf,"Strand-Woven Bamboo  

✅ Suitable for indoor furniture and interior applications due to its high strength, durability, and appealing natural aesthetics. It is a sustainable choice as it is made from a fast-growing renewable resource. Additionally, it offers good moisture resistance and is cost-effective compared to traditional hardwoods, making it a practical option for various interior design projects. 
❌ Not Suitable for outdoor use as it can be susceptible to swelling and fungal attacks when exposed to high moisture levels. In areas such as bathrooms or kitchens where moisture levels are consistently high, strand-woven bamboo should be used with caution and proper sealing to prevent damage. Due to its higher embodied energy from processing and potential moisture-related issues, strand-woven bamboo is not ideal for catering equipment that requires frequent cleaning and exposure to water.",,,,,,,
Global,MAT-Wood-0027,Wood,Strand-Woven Bamboo,kg,0.01,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,dasso strand woven bamboo,EPD_StrandWovenBamboo_Global_S-P-01926_2020-04_to_2025-04.pdf,"Strand-Woven Bamboo  

✅ Suitable for indoor furniture and interior applications due to its high strength, durability, and appealing natural aesthetics. It is a sustainable choice as it is made from a fast-growing renewable resource. Additionally, it offers good moisture resistance and is cost-effective compared to traditional hardwoods, making it a practical option for various interior design projects. 
❌ Not Suitable for outdoor use as it can be susceptible to swelling and fungal attacks when exposed to high moisture levels. In areas such as bathrooms or kitchens where moisture levels are consistently high, strand-woven bamboo should be used with caution and proper sealing to prevent damage. Due to its higher embodied energy from processing and potential moisture-related issues, strand-woven bamboo is not ideal for catering equipment that requires frequent cleaning and exposure to water.",1.069,,,,,,
Europe,MAT-Wood-0028,Wood,Particle Board,kg,0.36,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for particleboard, uncoated",3.11-cutoff-23720.pdf,"Particle Board

✅ Suitable for budget office furniture, conference tables, and shelving units where cost-effectiveness and surface finish are priorities. Supports laminate and melamine finishes well, making it ideal for clean, modern interior aesthetics. Appropriate for interior fit-outs where aesthetic appeal and cost are key considerations, such as decorative wall panels and non-load-bearing partitions.
❌ Not suitable for high-stress or high-moisture applications due to lower mechanical strength and potential emissions from adhesives. Unsuitable for catering equipment or environments with high humidity or food contact, as it may degrade or emit harmful substances under such conditions",Density 750kg/m3,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/23720/impact_assessment,,,
Rest-of-World,MAT-Wood-0029,Wood,Particle Board,kg,0.56,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for particleboard, uncoated","market for particleboard, uncoated Rest-of-World (RoW) 20190101-20241231.pdf","Particle Board

✅ Suitable for budget office furniture, conference tables, and shelving units where cost-effectiveness and surface finish are priorities. Supports laminate and melamine finishes well, making it ideal for clean, modern interior aesthetics. Appropriate for interior fit-outs where aesthetic appeal and cost are key considerations, such as decorative wall panels and non-load-bearing partitions.
❌ Not suitable for high-stress or high-moisture applications due to lower mechanical strength and potential emissions from adhesives. Unsuitable for catering equipment or environments with high humidity or food contact, as it may degrade or emit harmful substances under such conditions",Density 750kg/m3,,,MDF (Medium Density Fiberboard) typically has a density ranging from 600 to 800 kg/m³ (700),,,
Rest-of-World,MAT-Wood-0030,Wood,MDF,kg,1.16,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for medium density fibreboard,3.11-cutoff-23082.pdf,"MDF

✅ Suitable for furniture and interior fit-outs, such as office desks, conference tables, and decorative wall paneling, due to its smooth finish, stability, and ability to support decorative laminates or veneers. Commonly used in commercial settings for affordable, modern furniture and interior applications.
❌ Not suitable for catering equipment or environments with high moisture exposure, such as kitchens or bathrooms, without special treatment. May pose concerns due to resin emissions and higher embodied energy compared to solid wood, and is not ideal for structural loads or heavy-duty applications.",,,,MDF (Medium Density Fiberboard) typically has a density ranging from 600 to 800 kg/m³ (700),https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/23082/documentation,,
Europe,MAT-Wood-0031,Wood,MDF,kg,0.88,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for medium density fibreboard,3.11-cutoff-22601.pdf,"MDF

✅ Suitable for furniture and interior fit-outs, such as office desks, conference tables, and decorative wall paneling, due to its smooth finish, stability, and ability to support decorative laminates or veneers. Commonly used in commercial settings for affordable, modern furniture and interior applications.
❌ Not suitable for catering equipment or environments with high moisture exposure, such as kitchens or bathrooms, without special treatment. May pose concerns due to resin emissions and higher embodied energy compared to solid wood, and is not ideal for structural loads or heavy-duty applications.",,,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/22601/documentation,,,
China,MAT-Wood-0032,Wood,Plywood,kg,1.64,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Plywood,EPD_Cross-Banded Wood Veneer Plywood_China_S-P-07464_ 012022 012027.pdf,"Plywood

✅ Suitable for furniture and interior fit-outs, including cabinets, shelving, partition walls, and subflooring, due to its high strength-to-weight ratio, dimensional stability, and resistance to warping. Often preferred in commercial and residential projects for structural and decorative uses where durability and load-bearing capacity are important.
❌ Not suitable for prolonged exposure to moisture or outdoor environments unless treated or marine-grade plywood is used. Standard plywood may delaminate when wet and can release formaldehyde depending on the adhesive used. Less smooth than MDF, making it less ideal for intricate finishes or fine detailing without additional surfacing.",,,,"Declared Unit=1m3
The density of the product is 541 kg/m3",,,
Rest-of-World,MAT-Metal-0001,Metal,Stainless Steel,kg,5.30,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for steel, chromium steel 18/8, hot rolled",3.11-cutoff-614.pdf,"Stainless Steel

✅ Suitable for furniture, interior fit-outs, and catering applications where excellent corrosion resistance, hygiene, and structural strength are essential — such as kitchen counters, sinks, and fixtures in commercial or healthcare environments.
❌ Not suitable for applications requiring low embodied energy or reduced weight, as stainless steel has high production emissions and is heavier than alternatives like aluminum.",,,,,,,
India,MAT-Metal-0002,Metal,Stainless Steel,kg,0.14,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Stainless Steel Cast & Rolled Products,EPD_StainlessSteelCastAndRolledProducts_India_S-P-09813_2023-12_to_2028-12.pdf,"Staineless Steel
  
✅ Suitable for furniture, interior fit-outs, and catering applications where excellent corrosion resistance, hygiene, and structural strength are essential — such as kitchen counters, sinks, and fixtures in commercial or healthcare environments.
❌ Not suitable for applications requiring low embodied energy or reduced weight, as stainless steel has high production emissions and is heavier than alternatives like aluminum.","✅ Final Emission Values per kg
Module	GWP (kg CO₂e/kg)	Directly Declared	Notes
A1	0.144	✅ Yes	Upstream incl. raw material transport (A2)
A2	Included in A1	❌ Not separately declared	Transport is modeled but not separated
A3	1.87	✅ Yes	Core manufacturing processes
Total (A1–A3)	2.01	✅ Matches EPD total	Logical sum of above",,,,,,
Europe,MAT-Metal-0003,Metal,Stainless Steel,kg,5.23,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for steel, chromium steel 18/8, hot rolled",3.11-cutoff-1100.pdf,"Stainless Steel

✅ Suitable for furniture, interior fit-outs, and catering applications where excellent corrosion resistance, hygiene, and structural strength are essential — such as kitchen counters, sinks, and fixtures in commercial or healthcare environments.
❌ Not suitable for applications requiring low embodied energy or reduced weight, as stainless steel has high production emissions and is heavier than alternatives like aluminum.",,,,,,,
